labels,top_1,top_3,top_5,counts
Abutilon,0.8055555555555556,0.8333333333333334,0.8888888888888888,374
Achyranthes,0.53125,0.65625,0.78125,258
Aleurites,0.4666666666666667,0.8,0.8666666666666667,176
Ananas,0.86,0.9,0.96,612
Anthurium,0.7391304347826086,0.9710144927536232,0.9710144927536232,758
Artocarpus,0.7307692307692307,0.8846153846153846,0.8846153846153846,303
Bonamia,0.6666666666666666,0.6666666666666666,0.6666666666666666,44
Bougainvillea,0.9636363636363636,1.0,1.0,663
Canavalia,0.625,0.7916666666666666,0.8333333333333334,212
Chrysodracon,0.6363636363636364,0.8181818181818182,0.8181818181818182,276
Cocos,0.8387096774193549,0.9032258064516129,0.9354838709677419,311
Colubrina,0.8,1.0,1.0,67
Cordia,0.36,0.64,0.72,209
Cordyline,0.8275862068965517,1.0,1.0,335
Cortaderia,0.5,1.0,1.0,39
Cyperus,0.7857142857142857,0.9183673469387755,0.9489795918367347,871
Delairea,0.7142857142857143,1.0,1.0,111
Dioscorea,0.5714285714285714,0.8,0.8571428571428571,261
Gouania,0.6666666666666666,0.6666666666666666,0.6666666666666666,31
Heliconia,0.8771929824561403,0.9473684210526315,0.9824561403508771,622
Hibiscus,0.7782426778242678,0.9163179916317992,0.9539748953974896,2151
Ischaemum,0.5,0.75,0.75,41
Isodendrion,0.0,0.5,0.5,20
Marsilea,0.75,1.0,1.0,51
Mezoneuron,1.0,1.0,1.0,18
Nothocestrum,0.375,0.5,0.75,64
Officinale,0.66,0.82,0.88,556
Panicum,0.5806451612903226,0.9032258064516129,0.9838709677419355,580
Pennisetum,0.8333333333333334,1.0,1.0,162
Peucedanum,0.0,0.5,0.5,31
Plumeria,0.7920792079207921,0.8910891089108911,0.9108910891089109,741
Portulaca,0.618421052631579,0.8289473684210527,0.8289473684210527,623
Pritchardia,0.8461538461538461,0.9615384615384616,0.9807692307692307,464
Pseudognaphalium,0.6666666666666666,0.8518518518518519,0.9444444444444444,420
Rubus,0.8456375838926175,0.9395973154362416,0.9731543624161074,1113
Scaevola,0.7066666666666667,0.84,0.9066666666666666,689
Schenkia,0.125,0.5,0.625,48
Senecio,0.8080808080808081,0.9292929292929293,0.9494949494949495,854
Sesbania,0.6,0.8,0.8,104
Tetramolopium,0.65,0.9,0.95,146
Tibouchina,0.3333333333333333,1.0,1.0,26
Vigna,0.5,0.6875,0.75,101
